Technické ID,Původní označení,Soubor,Vrstva,Účel,Režimy,Zápis souborů,Zápis DB,Role v panelu,Doložený stav,Riziko,Předpoklady,Následuje,Poznámka,Velikost B,Změněno
DOC_DB_AUDIT_EXISTING,A0 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_0_AUDIT_EXISTING_DOCUMENTATION_OBJECTS_V1.sql,DB základ,Read-only inventura existujících dokumentačních a znalostních objektů.,READ_ONLY,NE,NE,ADMIN / diagnostika,AVAILABLE,LOW,Připojení k matchmatrix,A1 SQL nebo rozhodnutí bez změny,Pouze SELECT.,10218,2026-06-30 09:14:23
DOC_DB_CREATE_CORE,A1 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_1_CREATE_DOCUMENTATION_CORE_V1.sql,DB základ,"Vytvoření základního schématu documentation, tabulek, verzí, sekcí, vazeb, historie a importních běhů.",APPLY,NE,ANO – DDL,ADMIN / instalace,IMPLEMENTED,CRITICAL,A0 audit a záloha DB,A5/A6 nebo další DB vrstvy,Nespouštět jako běžnou denní akci.,25356,2026-07-05 23:26:48
DOC_STATUS_DB_AUDIT,A11 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_11_AUDIT_DOCUMENTATION_STATUS_STORAGE_V1.sql,Status/KPI,Read-only audit objektů vhodných pro ukládání stavových snapshotů.,READ_ONLY,NE,NE,ADMIN / diagnostika,AVAILABLE,LOW,Základní documentation schema,A12 SQL,Pouze SELECT.,11782,2026-06-30 12:05:59
DOC_STATUS_DB_CREATE,A12 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_12_CREATE_DOCUMENTATION_STATUS_STORAGE_V1.sql,Status/KPI,Vytvoření tabulky status_snapshots a navazujících pohledů.,APPLY,NE,ANO – DDL,ADMIN / instalace,IMPLEMENTED,CRITICAL,A11 audit,"A13, A15",Jednorázová či migrační akce.,14140,2026-06-30 12:19:32
DOC_STATUS_DASHBOARD_VIEWS,A15 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_15_CREATE_DOCUMENTATION_OPS_DASHBOARD_V1.sql,Status/KPI,"Vytvoření OPS dashboard pohledů, KPI a historie.",APPLY,NE,ANO – VIEW DDL,ADMIN / instalace,IMPLEMENTED,HIGH,A12 a data status snapshotů,A16,"Read-only vůči obsahu, ale mění DB objekty.",14684,2026-06-30 12:32:10
DOC_PANEL_PAYLOAD_VIEW,A16 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_16_CREATE_DOCUMENTATION_PANEL_PAYLOAD_V1.sql,Panel kontrakt,Vytvoření jednotného JSONB a technického kontraktu pro Python panel.,APPLY,NE,ANO – VIEW DDL,SKRYTÝ BACKEND PANELU,IMPLEMENTED,HIGH,A15,Documentation Center,Stabilní datový kontrakt panelu.,11727,2026-06-30 12:34:54
DOC_DB_EXTEND_HISTORY_CONSTRAINTS,A26 SQL,C:\MatchMatrix-Platform\db\25_DOCUMENTATION\25_1_A_26_EXTEND_DOCUMENTATION_HISTORY_CONSTRAINTS_V1.sql,DB migrace,"Rozšíření constraintů pro MM-DL, MM-NAV a MM-PS a typy DL, NAV, PS.",APPLY / TRANSACTION,NE,ANO – ALTER CONSTRAINT,ADMIN / migrace,APPLIED_AND_VERIFIED,CRITICAL,"Záloha, čistý Git, validní stávající data",A24 nebo PS import,Kolize označení A25 s Python importérem korpusu.,13570,2026-07-05 23:17:46
DOC_FILES_AUDIT,A2,C:\MatchMatrix-Platform\tools\documentation\25_1_A_2_AUDIT_DOCUMENTATION_FILES_V1.py,Inventura,"Audit aktivních Markdown souborů, ID, duplicit a kandidátů importu.",READ_ONLY,ANO – reporty,NE,DIAGNOSTIKA / předkontrola,IMPLEMENTED,LOW,Repo s docs,A3/A4/A5,Vhodné jako skrytá předkontrola.,18692,2026-07-05 14:38:53
DOC_IDS_NORMALIZE,A3,C:\MatchMatrix-Platform\tools\documentation\25_1_A_3_NORMALIZE_ACTIVE_DOCUMENT_IDS_V1.py,Údržba dokumentů,Řízená normalizace vybraných Document ID a aktivních odkazů.,DRY_RUN / APPLY,ANO – docs + report,NE,ADMIN / oprava ID,IMPLEMENTED,HIGH,"Čistý Git, přesné počty výskytů",A17/A5,"Specifická pravidla, ne univerzální normalizátor.",17582,2026-06-30 09:51:30
DOC_METADATA_NORMALIZE,A4,C:\MatchMatrix-Platform\tools\documentation\25_1_A_4_NORMALIZE_DOCUMENT_METADATA_V1.py,Údržba dokumentů,Normalizace metadat tří konkrétních kanonických dokumentů.,DRY_RUN / APPLY,ANO – 3 docs + report,NE,ADMIN / historická oprava,IMPLEMENTED_SPECIALIZED,HIGH,Konkrétní soubory musí existovat,A5/A17,Není obecný nástroj pro libovolný dokument.,8712,2026-07-02 21:15:59
DOC_CANONICAL_MANIFEST_BUILD,A5,C:\MatchMatrix-Platform\tools\documentation\25_1_A_5_BUILD_DOCUMENT_IMPORT_MANIFEST_V1.py,Kanonický import,Deterministické sestavení manifestu vybraných kanonických dokumentů a hashů.,BUILD,ANO – JSON/CSV report,NE,SKRYTÝ BACKEND,OPERATIONAL_WITH_REVIEW,MEDIUM,Přesný statický seznam kandidátů,A6/A7/A9,"Hlavička uvádí 21 kandidátů, kód očekává 22; statický první-import manifest.",25652,2026-07-05 16:58:20
DOC_CANONICAL_DB_IMPORT,A6,C:\MatchMatrix-Platform\tools\documentation\25_1_A_6_IMPORT_CANONICAL_DOCUMENTS_TO_DB_V1.py,Kanonický import,"Import dokumentů, verzí, sekcí, vazeb a historie stavu z manifestu.",DRY_RUN / APPLY,ANO – report,ANO – DML při APPLY,SKRYTÝ BACKEND PUBLIKACE,VERIFIED_OPERATIONAL,CRITICAL,"Platný manifest, DB schema, při APPLY čistý Git",A7,Podporuje full i incremental a vazby na existující DB dokumenty.,70218,2026-07-02 21:40:02
DOC_DB_IMPORT_VERIFY,A7,C:\MatchMatrix-Platform\tools\documentation\25_1_A_7_VERIFY_DOCUMENTATION_IMPORT_V1.py,Integrita,Read-only úplné nebo přírůstkové ověření DB proti manifestu a souborům.,AUTO / FULL / INCREMENTAL,ANO – JSON/CSV report,NE,TLAČÍTKO OVĚŘIT / automaticky po importu,VERIFIED_OPERATIONAL,LOW,"Manifest, DB",A8/A9 nebo výsledek panelu,Opraveno pro incremental scope.,71802,2026-07-01 18:04:52
DOC_SYNC_PLAN_BUILD,A8,C:\MatchMatrix-Platform\tools\documentation\25_1_A_8_BUILD_DOCUMENT_SYNC_PLAN_V1.py,Synchronizace,"Read-only plán souladu souborů, manifestu a DB; detekuje nové verze a blokace.",READ_ONLY,ANO – JSON/CSV report,NE,TLAČÍTKO ZJISTIT ROZDÍLY / skrytý backend,IMPLEMENTED,LOW,Manifest a DB,A9 nebo operátorská akce,Vrací akční a blokující stavy.,31221,2026-06-30 11:33:46
DOC_CONTROL_CYCLE_RUN,A9,C:\MatchMatrix-Platform\tools\documentation\25_1_A_9_RUN_DOCUMENTATION_CONTROL_CYCLE_V1.py,Orchestrace,Spustí A5 → A7 → A8 a ověří jejich FINAL STATUS.,READ_ONLY ORCHESTRATION,ANO – souhrnný report,NE,TLAČÍTKO CELKOVÁ KONTROLA,IMPLEMENTED,LOW,"Funkční A5, A7, A8",A10/A14,Pozor: A5 obnovuje statický kanonický manifest.,15980,2026-06-30 11:57:32
DOC_STATUS_SNAPSHOT_BUILD,A10,C:\MatchMatrix-Platform\tools\documentation\25_1_A_10_BUILD_DOCUMENTATION_STATUS_SNAPSHOT_V1.py,Status/KPI,"Sjednotí reporty A5, A7, A8 a A9 do stavového snapshotu READY/WARNING/BLOCKED.",BUILD,ANO – JSON/CSV/MD,NE,SKRYTÝ BACKEND KPI,IMPLEMENTED_NEEDS_CURRENT_TEST,LOW,"Aktuální latest reporty A5,A7,A8,A9",A13/A14,Dirty Git standardně vede k WARNING.,21185,2026-06-30 12:00:37
DOC_STATUS_SNAPSHOT_IMPORT,A13,C:\MatchMatrix-Platform\tools\documentation\25_1_A_13_IMPORT_DOCUMENTATION_STATUS_SNAPSHOT_V1.py,Status/KPI,Idempotentní import status snapshotu do DB.,DRY_RUN / APPLY,ANO – report,ANO – status_snapshots při APPLY,SKRYTÝ BACKEND KPI,IMPLEMENTED_NEEDS_CURRENT_TEST,HIGH,"A10 snapshot, A12 storage",A14/A15,"Neimportuje dokumenty, pouze provozní stav.",28158,2026-06-30 12:21:02
DOC_STATUS_PIPELINE_RUN,A14,C:\MatchMatrix-Platform\tools\documentation\25_1_A_14_RUN_DOCUMENTATION_STATUS_PIPELINE_V1.py,Orchestrace statusu,Spustí A9 → A10 → A13 a zastaví se při prvním neúspěchu.,DRY_RUN / APPLY,ANO – souhrnný report,VOLITELNĚ status snapshot,TLAČÍTKO OBNOVIT STAV DOKUMENTACE,IMPLEMENTED_NEEDS_CURRENT_TEST,HIGH,"A9,A10,A13 a DB storage",A15/A16/panel,Nejde o publikaci dokumentů.,14096,2026-06-30 12:25:25
DOC_STANDARD_AUDIT,A17,C:\MatchMatrix-Platform\tools\documentation\25_1_A_17_AUDIT_DOCUMENT_STANDARD_COMPLIANCE_V1.py,Standardizace,"Read-only audit Markdown dokumentu proti standardům, metadatům a struktuře.",READ_ONLY,ANO – JSON/MD report,NE,TLAČÍTKO ZKONTROLOVAT,VERIFIED_FOR_DL_NAV,LOW,Markdown dokument,A18 nebo přímé schválení,Aktuální regex nepřijímá MM-PS-YYYYMMDD.,42154,2026-06-30 21:58:23
DOC_STANDARD_PROPOSAL_BUILD,A18,C:\MatchMatrix-Platform\tools\documentation\25_1_A_18_BUILD_DOCUMENT_STANDARDIZATION_PROPOSAL_V1.py,Standardizace,"Vytvoří návrh restrukturalizace, diff a mapovací kontrakt.",BUILD,ANO – kandidát/reporty,NE,TLAČÍTKO PŘIPRAVIT OPRAVU,IMPLEMENTED,MEDIUM,Úspěšný A17 a shodný SHA-256,A19,Podporuje DAILY_LOG a CHAT_CONTINUATION.,77778,2026-06-30 14:12:05
DOC_STANDARD_MAPPING_REVIEW,A19,C:\MatchMatrix-Platform\tools\documentation\25_1_A_19_REVIEW_DOCUMENT_STANDARDIZATION_MAPPING_V1.py,Uživatelská revize,"Tkinter editor pro potvrzení, přesun, rozdělení nebo vyloučení bloků A18.",VALIDATE / GUI,ANO – review state/reporty,NE,SPECIALIZOVANÉ REVIEW OKNO,IMPLEMENTED_LOCAL_GUI,MEDIUM,A18 panel mapping,A20,Na PC1/PC2 architektuře je lokální Tkinter méně vhodný než web.,59865,2026-06-30 14:52:20
DOC_STANDARD_CANDIDATE_BUILD,A20,C:\MatchMatrix-Platform\tools\documentation\25_1_A_20_BUILD_STANDARDIZED_DOCUMENT_FROM_REVIEW_V1.py,Standardizace,Sestaví standardizovaný Markdown kandidát z potvrzeného mapování A19.,VALIDATE / BUILD,ANO – kandidát/diff/report,NE,SKRYTÝ BACKEND PO SCHVÁLENÍ,VERIFIED_OPERATIONAL,MEDIUM,A19 MAPPING_CONFIRMED,A21/A17,Podporuje DAILY_LOG a CHAT_CONTINUATION.,40120,2026-06-30 15:36:39
DOC_STANDARD_CANDIDATE_POLISH,A21,C:\MatchMatrix-Platform\tools\documentation\25_1_A_21_POLISH_STANDARDIZED_DOCUMENT_CANDIDATE_V1.py,Standardizace,Redakční a sémantické dočištění kandidáta A20 s auditní stopou.,VALIDATE / BUILD,ANO – polished kandidát/reporty,NE,TLAČÍTKO DOČISTIT / automatický krok,VERIFIED_OPERATIONAL,MEDIUM,Platný A20 build a hash,A17/A22,Nevytváří kanonickou verzi.,70567,2026-06-30 22:12:04
DOC_DAILY_LOG_CANONICAL_PREPARE,A22,C:\MatchMatrix-Platform\tools\documentation\25_1_A_22_PREPARE_DAILY_LOG_CANONICAL_APPROVAL_V1.py,Denní zápis,"Příprava kanonického MM-DL kandidáta, ID, metadat, terminologického reportu a A17 auditu.",VALIDATE / BUILD,ANO – kandidát a reporty,NE,TLAČÍTKO PŘIPRAVIT DENNÍ ZÁPIS,VERIFIED_OPERATIONAL,MEDIUM,A21 polished DAILY_LOG,A23,Pouze DAILY_LOG; není pro NAV ani PS.,46263,2026-07-02 21:21:28
DOC_TERMINOLOGY_REVIEW,A23,C:\MatchMatrix-Platform\tools\documentation\25_1_A_23_REVIEW_TERMINOLOGY_CANDIDATES_V1.py,Terminologie,"Čištění, klasifikace a uživatelské potvrzení termínů; GUI nebo web PC1→PC2.",VALIDATE / AUTO / GUI / WEB,ANO – review state/proposal,NE,TLAČÍTKO POTVRDIT POJMY / otevřít web,VERIFIED_WEB_READY,MEDIUM,A22 terminology report,Samostatný schválený aplikační krok slovníku,MM-REF-001 automaticky nemění.,80144,2026-06-30 23:08:56
DOC_HISTORY_DOCUMENT_PUBLISH,A24,C:\MatchMatrix-Platform\tools\documentation\25_1_A_24_IMPORT_HISTORY_DOCUMENTS_TO_DB_V1.py,Historické dokumenty,"Orchestrátor validace, manifestu, dry runu, APPLY přes A6 a následného A7 pro datumové dokumenty.",VALIDATE / DRY_RUN / APPLY,ANO – manifest/report,ANO – přes A6 při APPLY,DVOJKROK: PROVĚŘIT → PUBLIKOVAT,VERIFIED_FOR_DL_NAV,CRITICAL,"Podporovaný typ, čistý Git při APPLY, DB schema",A7 automaticky,"Aktuálně podporuje jen MM-DL a MM-NAV, nikoli MM-PS.",24241,2026-07-01 20:28:57
DOC_HISTORY_CORPUS_IMPORT,A25 Python,C:\MatchMatrix-Platform\tools\documentation\25_1_A_25_IMPORT_HISTORY_CORPUS_TO_DB_V1.py,Historický korpus,"Importér nekanonického archivu různých formátů, deduplikace, MM-HIS, sekce a citlivé výjimky.",VALIDATE_ONLY / DRY_RUN / APPLY,ANO – manifest/report/ID registry,ANO – DML při APPLY,SAMOSTATNÁ ADMIN SEKCE KORPUS,OPERATIONAL_USED_AS_EVIDENCE,CRITICAL,"Bezpečnostní výjimky, stabilní ID registry, DB",Post-import audit,Nesmí být zaměněn s A26 SQL.,40607,2026-07-03 22:02:27
HIST_A24_V1,A24 historická V1,C:\MatchMatrix-Platform\tools\histori\25_1_A_24_IMPORT_HISTORY_DOCUMENTS_TO_DB_V1.py,Historie skriptů,Archivní předchozí verze A24.,NEPOUŠTĚT,NE,MOŽNÝ ZÁPIS – historický kód,NEZOBRAZOVAT V PANELU,HISTORICAL_ONLY,CRITICAL,Pouze pro audit/rollback kódu,Aktivní A24,Nemá nový stav APPLIED_VERIFICATION_FAILED.,22967,2026-07-01 18:28:23
HIST_A24_V2,A24 historická V2,C:\MatchMatrix-Platform\tools\histori\25_1_A_24_IMPORT_HISTORY_DOCUMENTS_TO_DB_V2.py,Historie skriptů,Archivní meziverze A24.,NEPOUŠTĚT,NE,MOŽNÝ ZÁPIS – historický kód,NEZOBRAZOVAT V PANELU,HISTORICAL_ONLY,CRITICAL,Pouze pro audit/rollback kódu,Aktivní A24,Historická meziverze.,22993,2026-07-01 20:18:18
HIST_A6_V1,A6 historická,C:\MatchMatrix-Platform\tools\histori\25_1_A_6_IMPORT_CANONICAL_DOCUMENTS_TO_DB_V1.py,Historie skriptů,Původní importer s pevným rozsahem a bez plné incremental podpory.,NEPOUŠTĚT,NE,ANO při APPLY,NEZOBRAZOVAT V PANELU,HISTORICAL_ONLY,CRITICAL,Pouze audit,Aktivní A6,Pevný EXPECTED_DOCUMENTS=21.,62476,2026-06-30 11:08:58
HIST_A7_V1,A7 historická V1,C:\MatchMatrix-Platform\tools\histori\25_1_A_7_VERIFY_DOCUMENTATION_IMPORT_V1.py,Historie skriptů,Původní full-snapshot verifier.,NEPOUŠTĚT,ANO – report,NE,NEZOBRAZOVAT V PANELU,HISTORICAL_ONLY,LOW,Pouze audit,Aktivní A7,Vytvářel falešné blokátory při incremental manifestu.,60662,2026-06-30 11:29:35
HIST_A7_V2,A7 historická V2,C:\MatchMatrix-Platform\tools\histori\25_1_A_7_VERIFY_DOCUMENTATION_IMPORT_V2.py,Historie skriptů,Meziverze verifieru s incremental režimem před finálními opravami.,NEPOUŠTĚT,ANO – report,NE,NEZOBRAZOVAT V PANELU,HISTORICAL_ONLY,LOW,Pouze audit,Aktivní A7,Historická meziverze.,67120,2026-07-01 14:40:38
DOC_PANEL_Q,V20.1.Q,C:\MatchMatrix-Platform\tools\panels\matchmatrix_control_panel_V20_1_Q_DOCUMENTATION_CENTER.py,Panel,"Read-only Dokumentační centrum: DB dokumenty, vazby, status history, import runs a rychlé otevření souborů.",GUI,NE,ČTENÍ DB,HLAVNÍ UŽIVATELSKÁ VRSTVA,IMPLEMENTED_READ_ONLY,CRITICAL,"DB, cesty PC2/PC1",Rozšíření o registry a bezpečná tlačítka,"Obsahuje přihlašovací údaje DB přímo ve zdrojovém kódu; před dalším rozvojem odstranit do .env. PYTHON_EXE je obecné 'python', ne explicitní C:\Python314\python.exe.",392372,2026-07-02 12:09:18
