|id |sport_code|entity  |layer_type|current_status|production_readiness|provider_primary|provider_fallback|db_layer_ready|planner_ready|queue_ready|public_ready|key_gap                                                                                    |next_step                                                                           |evidence_note                                                                                                                                     |priority_rank|created_at                   |updated_at                   |
|---|----------|--------|----------|--------------|--------------------|----------------|-----------------|--------------|-------------|-----------|------------|-------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------------------|-----------------------------|
|1  |FB        |fixtures|core      |DONE          |READY               |api_football    |football_data    |true          |true         |true       |true        |                                                                                           |                                                                                    |Fixtures plně funkční, merge + downstream OK                                                                                                      |1            |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|2  |FB        |odds    |extension |DONE          |READY               |theodds         |                 |true          |true         |true       |true        |Matching není 100% (NO_MATCH_ID)                                                           |Pokračovat v linker zlepšení                                                        |Odds ingest běží, attach funguje s fallback logikou                                                                                               |2            |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|3  |FB        |players |people    |PARTIAL       |NEAR_READY          |api_football    |                 |true          |false        |false      |false       |Není plné coverage + složitý harvest                                                       |Definovat finální harvest model (liga/sezona)                                       |Endpoint funguje, ale coverage omezená                                                                                                            |10           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|5  |HK        |fixtures|core      |DONE          |READY               |api_hockey      |                 |true          |true         |true       |true        |                                                                                           |                                                                                    |Leagues/teams/fixtures funkční                                                                                                                    |20           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|6  |HK        |players |people    |BLOCKED       |NOT_READY           |api_hockey      |                 |false         |false        |false      |false       |Endpoint neexistuje                                                                        |Najít jiného providera                                                              |API-Sports players neexistuje pro hockey                                                                                                          |21           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|7  |HK        |coachs  |people    |WAIT_PROVIDER |NOT_READY           |api_hockey      |                 |false         |false        |false      |false       |Neověřený endpoint                                                                         |Uděláme reality check                                                               |Tech_ready stopa, ale bez potvrzení                                                                                                               |22           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|8  |BK        |fixtures|core      |VALIDATE      |NEAR_READY          |api_sport       |api_basketball   |true          |true         |true       |false       |Menší coverage + test režim                                                                |Doběhnout validation run                                                            |Základ funguje, ale není plně stabilní                                                                                                            |30           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|9  |BK        |players |people    |BLOCKED       |NOT_READY           |api_sport       |                 |false         |false        |false      |false       |Vrací 0 dat                                                                                |Najít jiného providera                                                              |API endpoint existuje, ale prázdný                                                                                                                |31           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|10 |BK        |coaches |people    |WAIT_PROVIDER |NOT_READY           |api_sport       |                 |false         |false        |false      |false       |Neověřený endpoint                                                                         |Reality check                                                                       |Zatím bez důkazu použitelnosti                                                                                                                    |32           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|11 |VB        |fixtures|core      |DONE          |READY               |api_volleyball  |                 |true          |true         |true       |true        |                                                                                           |                                                                                    |Fixtures fungují                                                                                                                                  |40           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|12 |VB        |players |people    |BLOCKED       |NOT_READY           |api_volleyball  |                 |false         |false        |false      |false       |Bez dat                                                                                    |Najít provider                                                                      |Players endpoint neexistuje                                                                                                                       |41           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|13 |VB        |coachs  |people    |WAIT_PROVIDER |NOT_READY           |api_volleyball  |                 |false         |false        |false      |false       |Neověřený endpoint                                                                         |Reality check                                                                       |Zatím bez dat                                                                                                                                     |42           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|4  |FB        |coachs  |people    |DONE          |READY               |api_football    |                 |true          |false        |false      |true        |Chybi career enrichment: start_date, end_date, league_id, season a presnejsi current logic.|Rozsirit staging a merge o plne career start/end mapovani a pripadne league context.|FB coaches ingest do staging funguje, public.coaches a coach_provider_map jsou naplnene a team_coach_history obsahuje career vazby pres vice tymu.|11           |2026-04-07 08:52:52.254 +0200|2026-04-07 14:24:44.354 +0200|
