|id |sport_code|entity  |layer_type   |current_status|production_readiness|provider_primary     |provider_fallback|db_layer_ready|planner_ready|queue_ready|public_ready|key_gap                                                                                     |next_step                                                                                     |evidence_note                                                                                                                                                                                                                                                             |priority_rank|created_at                   |updated_at                   |
|---|----------|--------|-------------|--------------|--------------------|---------------------|-----------------|--------------|-------------|-----------|------------|--------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------------------|-----------------------------|
|2  |FB        |odds    |extension    |DONE          |READY               |theodds              |                 |true          |true         |true       |true        |Matching není 100% (NO_MATCH_ID)                                                            |Pokračovat v linker zlepšení                                                                  |Odds ingest běží, attach funguje s fallback logikou                                                                                                                                                                                                                       |2            |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|3  |FB        |players |people       |PARTIAL       |NEAR_READY          |api_football         |                 |true          |false        |false      |false       |Není plné coverage + složitý harvest                                                        |Definovat finální harvest model (liga/sezona)                                                 |Endpoint funguje, ale coverage omezená                                                                                                                                                                                                                                    |10           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|5  |HK        |fixtures|core         |DONE          |READY               |api_hockey           |                 |true          |true         |true       |true        |                                                                                            |                                                                                              |Leagues/teams/fixtures funkční                                                                                                                                                                                                                                            |20           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|6  |HK        |players |people       |BLOCKED       |NOT_READY           |api_hockey           |                 |false         |false        |false      |false       |Endpoint neexistuje                                                                         |Najít jiného providera                                                                        |API-Sports players neexistuje pro hockey                                                                                                                                                                                                                                  |21           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|7  |HK        |coachs  |people       |WAIT_PROVIDER |NOT_READY           |api_hockey           |                 |false         |false        |false      |false       |Neověřený endpoint                                                                          |Uděláme reality check                                                                         |Tech_ready stopa, ale bez potvrzení                                                                                                                                                                                                                                       |22           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|9  |BK        |players |people       |BLOCKED       |NOT_READY           |api_sport            |                 |false         |false        |false      |false       |Vrací 0 dat                                                                                 |Najít jiného providera                                                                        |API endpoint existuje, ale prázdný                                                                                                                                                                                                                                        |31           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|10 |BK        |coaches |people       |WAIT_PROVIDER |NOT_READY           |api_sport            |                 |false         |false        |false      |false       |Neověřený endpoint                                                                          |Reality check                                                                                 |Zatím bez důkazu použitelnosti                                                                                                                                                                                                                                            |32           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|12 |VB        |players |people       |BLOCKED       |NOT_READY           |api_volleyball       |                 |false         |false        |false      |false       |Bez dat                                                                                     |Najít provider                                                                                |Players endpoint neexistuje                                                                                                                                                                                                                                               |41           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|13 |VB        |coachs  |people       |WAIT_PROVIDER |NOT_READY           |api_volleyball       |                 |false         |false        |false      |false       |Neověřený endpoint                                                                          |Reality check                                                                                 |Zatím bez dat                                                                                                                                                                                                                                                             |42           |2026-04-07 08:52:52.254 +0200|2026-04-07 08:52:52.254 +0200|
|4  |FB        |coachs  |people       |DONE          |READY               |api_football         |                 |true          |false        |false      |true        |Chybi career enrichment: start_date, end_date, league_id, season a presnejsi current logic. |Rozsirit staging a merge o plne career start/end mapovani a pripadne league context.          |FB coaches ingest do staging funguje, public.coaches a coach_provider_map jsou naplnene a team_coach_history obsahuje career vazby pres vice tymu.                                                                                                                        |11           |2026-04-07 08:52:52.254 +0200|2026-04-07 14:24:44.354 +0200|
|8  |BK        |fixtures|core         |DONE          |READY               |api_sport            |api_basketball   |true          |true         |true       |true        |Prevest rucni BK merge kroky do finalniho opakovatelneho pipeline skriptu.                  |Vytvorit finalni BK pipeline SQL balicek a pak aplikovat stejny pattern na dalsi sport.       |BK fixtures merge do public.matches potvrzen, vcetne teams resolve, status mapping, score extraction a league mapping.                                                                                                                                                    |30           |2026-04-07 08:52:52.254 +0200|2026-04-10 12:29:46.635 +0200|
|14 |BK        |teams   |core         |DONE          |READY               |api_sport            |api_basketball   |true          |true         |true       |true        |Stejny sport-safe identity pattern zafixovat do finalniho reusable skriptu.                 |Prevest BK teams canonical seed + provider map fix do opakovatelneho pipeline skriptu.        |BK teams canonical identity a team_provider_map jsou potvrzene v public vrstve pres ext_source=api_sport_basketball.                                                                                                                                                      |29           |2026-04-10 12:32:42.383 +0200|2026-04-10 12:32:42.383 +0200|
|11 |VB        |fixtures|core         |DONE          |READY               |api_volleyball       |                 |true          |true         |true       |true        |Prevest rucni VB merge kroky do finalniho opakovatelneho pipeline skriptu.                  |Zafixovat VB pipeline jako reusable pattern a navazat dalsim sportem.                         |VB fixtures merge do public.matches potvrzen: 178 rows, status FINISHED, league SuperLega mapped.                                                                                                                                                                         |40           |2026-04-07 08:52:52.254 +0200|2026-04-10 13:33:50.545 +0200|
|15 |VB        |teams   |core         |DONE          |READY               |api_volleyball       |                 |true          |true         |true       |true        |Prevest VB teams canonical seed + provider map do finalniho opakovatelneho pipeline skriptu.|Udrzet VB pipeline jako referencni jednodussi pattern bez multisport komplikaci.              |VB teams canonical identity a team_provider_map potvrzeny v public vrstve, count=12.                                                                                                                                                                                      |39           |2026-04-10 13:34:35.869 +0200|2026-04-10 13:34:35.869 +0200|
|16 |AFB       |core    |core_pipeline|DONE          |READY               |api_american_football|                 |true          |true         |true       |true        |                                                                                            |AFB core pipeline uzavrena. Dalsi krok pripadne odds / people / downstream.                   |AFB teams CONFIRMED | AFB fixtures CONFIRMED | AFB leagues CONFIRMED | public.matches api_american_football=335                                                                                                                                                           |90           |2026-04-10 23:41:10.431 +0200|2026-04-10 23:41:10.431 +0200|
|1  |FB        |fixtures|core         |DONE          |READY               |api_football         |football_data    |true          |true         |true       |true        |                                                                                            |Pokračovat v odds attach / TheOdds linker quality vrstvě a navazujících downstream kontrolách.|2026-04-17 fresh runtime confirmation: ingest_cycle_v3 now executes API-Football RAW->PUBLIC merge for fixtures. Verified runs: 20260417213521047 (240/240/0), 20260417213618896 (306/306/0), 20260417213733016 (192/192/0). public.matches ext_source=api_football=77435.|1            |2026-04-07 08:52:52.254 +0200|2026-04-17 22:13:30.135 +0200|
